,,,5th,5th,,,
Grenada,0,0,0,0,0,28,119
Guatemala,1,0,0,1,2,"1,181","4,301"
Haiti,0,0,0,0,0,169,"8,322"
Honduras,0,0,0,4,4,"1,109","3,495"
Jamaica,0,0,0,4,4,953,"6,715"
Mexico,16,3,8,147,174,"5,692","41,655"
Nicaragua,0,0,0,0,0,84,855
Panama,0,0,0,0,0,67,250
Saint Kitts and Nevis,0,0,0,0,0,3,140
Saint Lucia,0,0,0,0,0,27,180
Saint Vincent and the Grenadines,0,0,0,0,0,7,83
Trinidad and Tobago,0,0,0,2,2,171,879
Region Total For North America,29,10,8,252,299,"16,478","117,296"
Oceania,,,,,,,
Australia,4,0,0,5,9,"1,007","1,059"
Christmas Island,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
TOTAL,4,0,0,5,9,"1,007","1,059"
Fiji,0,0,0,0,0,14,302
Kiribati,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0
"Micronesia, Federated States of",0,0,0,0,0,1,1
Nauru,0,0,0,0,0,1,1
New Zealand,1,1,0,7,9,232,245
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,1,1,0,7,9,232,245
Palau,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,4,4
Samoa,0,0,0,0,0,3,11
Solomon Islands,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,37
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0
Region Total For Oceania,5,1,0,12,18,"1,262","1,660"
South America,,,,,,,
Argentina,0,0,0,25,25,976,"1,161"
Bolivia,0,0,0,0,0,122,402
Brazil,0,31,0,357,388,"4,353","5,100"
Chile,0,0,0,4,4,289,415
Colombia,0,9,0,47,56,"1,121","4,329"
Ecuador,1,1,0,5,7,440,"3,723"
Guyana,0,0,0,0,0,56,"3,187"
Paraguay,0,0,0,0,0,28,63
Peru,0,1,0,6,7,427,"3,305"
Suriname,0,0,0,1,1,8,65
Uruguay,0,2,0,3,5,94,138
Venezuela,7,27,0,203,237,"2,443","3,300"
Region Total For South America,8,71,0,651,730,"10,357","25,188"
Grand Totals,220,361,26,"8,995","9,602","139,483","363,573"
