Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.96000003814697,9.96000003814697,10.9700002670288,9.81999969482422,10.207200050354,11.2061004638672,10.2024002075195,..,..
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,576000000,577691629.955947,552317180.61674,537092511.013216,542167400.881057,548933920.704846,534555066.079295,505797356.828194,..
American Samoa,ASM,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
American Samoa,ASM,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.19999980926514,..,..,..,..,..,..,..,..
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3355695364.23841,3199771534.45741,3148088242.81882,3159158337.77854,3231113955.01675,3258326510.42858,3319880351.13342,3382068237.52481,..
Andorra,AND,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9566358235583,100,99.955997318409,97.6859593235148,16.5989802462163,90.8480627384849,17.4195577199093,17.8244594869492,..
Andorra,AND,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Andorra,AND,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,83799496611.6049,86708999528.823,94115810020.6707,98778862980.2076,103542597665.682,104519600366.385,101822893038.982,101673002182.778,..
Angola,AGO,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Angola,AGO,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Angola,AGO,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.43000030517578,..,..,..,24.2199993133545,..,..,..,..
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1152469068.51852,1128507775.4842,1168080145.02604,1166866906.03994,1221221065.34845,1270384239.04835,1341395404.02289,1382074643.03003,..
Antigua and Barbuda,ATG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Antigua and Barbuda,ATG,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,74.1830787819794,77.0548976762329,72.0802750778551,77.9236632258491,82.9097699703266,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,423627422092.49,449061807872.401,444452545623.356,455143068397.581,443707073929.401,455825423287.839,447517812725.52,460292057147.949,..
Argentina,ARG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.4476413232427,99.5304130879093,99.2176885641081,99.0264640003624,98.3140640099954,98.0219286945161,94.1394599235076,93.8528246666324,..
Argentina,ARG,GINI index (World Bank estimate),SI.POV.GINI,43,42.3,41.2,41,41.4,..,42.4,40.6,..
Argentina,ARG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,8.34739971160889,..
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9260284937.79782,9695518329.74636,10393595649.8063,10736584306.25,11123101341.2749,11479040584.1958,11501998665.3641,12364648565.2664,..
Armenia,ARM,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Armenia,ARM,GINI index (World Bank estimate),SI.POV.GINI,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,..
Armenia,ARM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3,3,3.5,3.5,..,..,..,..,..
Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,19.007999420166,..,17.3013000488281,16.1788997650146,..,..,..,..,..
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2390502793.29609,2472880828.36298,2439005748.52239,2541400876.22235,2562957745.21181,2551409422.53889,2546020205.29152,2579895285.13211,..
Aruba,ABW,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,..,..,..,..,..
Aruba,ABW,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Aruba,ABW,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.6000003814697,8.89999961853027,..,..,..,..,..,..,..
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1144260547872.81,1172307576320.87,1217933084117.14,1250080212993.17,1282061484148.13,1312204498894.69,1349304594617.26,1375718249724.1,..
Australia,AUS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,32.9709729750069,36.3234231456682,30.6545427136297,28.2740594586091,27.1055138379226,26.0466667521997,24.9042085244703,24.8935837696774,..
Australia,AUS,GINI index (World Bank estimate),SI.POV.GINI,34.7,..,..,..,35.8,..,..,..,..
Australia,AUS,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,29.305377117173,30.6388190230792,39.9786210582576,38.0994105152808,42.280370177268,47.0405895137794,54.6850332970998,..,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.21129989624023,5.08109998703003,5.22359991073608,5.66200017929077,6.07679986953735,6.05420017242432,5.70989990234375,5.59119987487793,..
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,391892746544.69,403346978477.779,406091530301.534,406195100294.014,408881165533.779,413554595891.403,421989351972.106,432753797159.88,..
Austria,AUT,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,98.4515418523421,99.2571707780935,97.4101430930591,95.7683551530782,93.7856719726694,91.4744653522326,85.0159346896433,85.0515376653505,..
Austria,AUT,GINI index (World Bank estimate),SI.POV.GINI,30.3,30.8,30.5,30.8,30.5,30.5,..,..,..
Austria,AUT,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.82000017166138,4.56379985809326,4.86499977111816,5.33479976654053,5.61969995498657,5.72270011901855,6.01380014419556,5.49900007247925,..
Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,52902703376.1056,52937578302.4383,54102205124.8452,57238335961.2495,58383102680.4744,59025316698.5035,57195531761.5917,57252727186.9126,..
Azerbaijan,AZE,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Azerbaijan,AZE,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,6.38557579182856,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.67000007629395,5.51999998092651,5.26999998092651,5.05999994277954,4.94000005722046,4.88000011444092,4.98000001907349,5,..
"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,10095760000,10157636655.8148,10471171091.7508,10428194408.9434,10412761872.8443,10521571019.7704,10343803831.7942,10492464084.5963,..
"Bahamas, The",BHS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,99.999999999342,99.9999999987,99.9999999987145,99.9999999917302,99.9999999918088,..
"Bahamas, The",BHS,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,33.6865674302876,35.2808662969381,36.4320134322093,44.1234803718619,47.0774734651785,47.9562935135639,51.8533466229685,..,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,14.5200004577637,14.0200004577637,16.1800003051758,13.8000001907349,12,12.6999998092651,..,..
Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,25713271276.5957,26223377131.9619,27202099523.9053,28675502255.2549,29922841390.6393,30779223483.5898,31847546846.6869,33058875381.0199,..
Bahrain,BHR,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Bahrain,BHR,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,30.3067895852274,35.9360986783734,..,43.9376961095623,..,..,..,..,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,4,..,..,..,..,..,..,..
Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,115279077465.226,122731159566.449,130734992458.51,138596885516.148,146997325017.061,156629549345.307,167771375851.352,179992151721.964,..
Bangladesh,BGD,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Bangladesh,BGD,GINI index (World Bank estimate),SI.POV.GINI,32.1,..,..,..,..,..,32.4,..,..
Bangladesh,BGD,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..
Bangladesh,BGD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.37890005111694,..,..,4.4261999130249,..,..,4.34999990463257,4.37230014801025,..
Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4529900000,4559674767.20833,4572494458.64524,4572907997.07869,4573735073.94559,4615088917.29049,4707721526.38306,4754798741.64689,..
Barbados,BRB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Barbados,BRB,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Barbados,BRB,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,95.7267563080863,100.177396683044,111.653378365028,122.171179837398,132.10481001877,145.774322840658,..,..,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.6899995803833,11.1899995803833,11.5900001525879,11.5500001907349,12.1700000762939,11.3500003814697,9.72000026702881,..,..
Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,58665088956.0255,61820512466.141,62863508300.7594,63494325276.0969,64590481690.9209,62116943620.6317,60547592312.6721,62013997098.9821,..
Belarus,BLR,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,99.9313519680704,..
Belarus,BLR,GINI index (World Bank estimate),SI.POV.GINI,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,..
Belarus,BLR,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,18.4403581131381,39.4168108447656,24.4293134230567,23.8372955552391,24.5487262642116,37.5981780556757,39.960153098796,..,..
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,0.600000023841858,0.5,0.5,0.5,1,5.84000015258789,5.65000009536743,..
Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,483548031197.108,492243705517.819,493399388894.948,494389453126.263,500592443806.033,509186020761.815,516766169314.45,525514413485.334,..
Belgium,BEL,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.4955888679424,99.3547420632009,98.42810981097,96.8022928575475,94.4891524267585,95.1043453766346,91.7891148256158,91.9485403518636,..
Belgium,BEL,GINI index (World Bank estimate),SI.POV.GINI,28.4,28.1,27.5,27.7,28.1,27.7,..,..,..
Belgium,BEL,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.29249954223633,7.13959980010986,7.54169988632202,8.42529964447021,8.52270030975342,8.48200035095215,7.82969999313354,7.08620023727417,..
Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1396731700,1426937515.02326,1468858265.53273,1481371977.7259,1536069733.92865,1588786886.58966,1579444443.95268,1602145624.35887,..
Belize,BLZ,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Belize,BLZ,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Belize,BLZ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,80.1898102548972,76.8954169282403,74.9492343418746,77.3543518490858,77.0833496386423,..,..,..,..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,14.2700004577637,8.34910011291504,8.24390029907227,7.57819986343384,7.00040006637573,6.59549999237061,..
Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6970240895.49888,7176751732.08258,7522418417.64518,8063258961.67978,8575423619.90242,8755148067.02613,9102277422.82945,9633652295.47865,..
Benin,BEN,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Benin,BEN,GINI index (World Bank estimate),SI.POV.GINI,..,43.4,..,..,..,47.8,..,..,..
Benin,BEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,..
Benin,BEN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.03999996185303,2.64650011062622,..,..,..,..,..,..,..
Bermuda,BMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5744414000,5552579615.57093,5284137923.53055,5151445059.9242,..,..,..,..,..
Bermuda,BMU,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Bermuda,BMU,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.48999977111816,..,8.4399995803833,6.65999984741211,8.9399995803833,..,..,..,..
Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1585472534.10547,1710580806.57351,1797336501.23336,1835844373.82886,1941321989.27355,2070314376.30943,2236397091.16322,2339922180.01249,..
Bhutan,BTN,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Bhutan,BTN,GINI index (World Bank estimate),SI.POV.GINI,..,..,38.8,..,..,..,..,37.4,..
Bhutan,BTN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,..
Bhutan,BTN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,54.8829606742348,62.5299587992937,72.5156742224457,96.1392467526552,90.651486983017,91.4048311527287,107.650111182046,..,..
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.3199999332428,3.23000001907349,2.04999995231628,2.86999988555908,2.63000011444092,2.45000004768372,..,..,..
Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,19649724655.4886,20672314545.3975,21731207275.1952,23208062665.3852,24475355115.315,25664169101.2128,26758468587.3794,27881041739.7675,..
Bolivia,BOL,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,99.9997322955159,99.9974859925192,99.9991320215104,..
Bolivia,BOL,GINI index (World Bank estimate),SI.POV.GINI,..,46.1,46.6,47.6,47.8,46.7,44.6,44,..
Bolivia,BOL,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5,3.5,3.5,3.5,3.5,3,..,..,..
Bolivia,BOL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,2.21860003471375,2.04789996147156,2.39389991760254,2.00650000572205,3.06599998474121,..,..,..
Bosnia and Herzegovina,BIH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17176781336.7644,17341498611.7695,17198998442.4731,17603071036.7712,17805439832.058,18353281641.4979,18930321663.1679,19533480056.8836,..
Bosnia and Herzegovina,BIH,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,99.9554469178915,99.9552350286901,..
Bosnia and Herzegovina,BIH,GINI index (World Bank estimate),SI.POV.GINI,..,33,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3,3,3,3,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,45.8346942869169,49.0902631535795,..,..,..,52.8751253434721,..,..
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,27.3118000030518,27.5818996429443,28.0102996826172,27.4500007629395,27.5172004699707,27.6499996185303,25.4099998474121,20.4699993133545,..
Botswana,BWA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,12786654365.8738,13560031674.6853,14164289360.2583,15771004794.7832,16425383650.6027,16146491230.1971,16843290880.1571,17240806145.124,..
Botswana,BWA,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100,100,100,100,100,100,100,100,..
Botswana,BWA,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,53.3,..,..,..
Botswana,BWA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Botswana,BWA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,21.630688536512,20.7431794349045,19.9455502875561,18.2124296664286,17.4453597097219,17.9266970131874,15.233244511494,..,..
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,17.8600006103516,..,..,..,..,..,..,..,..
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2208871646202.82,2296661550704.87,2340784460875.91,2411120883018.91,2423271865113.81,2337348378396.28,2260088395608.76,2284132600491.48,..
Brazil,BRA,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,90.9381232942568,91.9283745885836,86.829230250407,85.3347137545434,77.1164730889402,74.9277515309761,67.9525591753989,68.1350300575805,..
Brazil,BRA,GINI index (World Bank estimate),SI.POV.GINI,..,52.9,52.7,52.8,51.5,51.3,53.7,53.3,..
Brazil,BRA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,..,..,..,..,..,..,..,..
Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,61.3187804611479,59.3416583014604,59.8494899958247,57.2284093802581,58.4572711058609,67.5375540277116,73.4436742456179,..,..
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,6.91699981689453,..,..,..,..,11.6094999313354,12.8273000717163,12.3381996154785
British Virgin Islands,VGB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,..,..,..,..,..,..,..,..,..
