"",5th,5th Target,Regional,Regional,,Employ.,
Uganda,0,0,0,0,0,124,233
Zambia,0,0,0,0,0,74,103
Zimbabwe,0,0,0,0,0,143,203
Region Total For Africa,6,1,0,122,129,"4,827","14,050"
Asia,,,,,,,
Afghanistan,0,0,0,1,1,72,470
Bahrain,0,0,0,0,0,62,72
Bangladesh,0,0,0,2,2,571,"8,241"
Bhutan,0,0,0,0,0,2,7
Brunei,0,0,0,0,0,18,18
Burma,0,0,0,0,0,69,490
Cambodia,0,0,0,1,1,73,495
China - mainland born,67,95,0,"8,966","9,128","22,641","38,034"
"- Taiwan born",4,0,0,122,126,"1,731","2,637"
"- PRC nationals adjusting under CSPA",0,0,0,0,0,0,0
Hong Kong S.A.R,0,1,0,29,30,531,"1,313"
India,5,8,0,83,96,"40,859","55,893"
Indonesia,0,0,0,2,2,472,647
Iran,10,1,0,65,76,"1,277","3,803"
Iraq,0,0,0,8,8,76,341
Israel,1,4,0,2,7,"1,293","1,498"
Japan,0,2,0,47,49,"2,139","2,293"
Jordan,0,0,0,7,7,238,"1,932"
"Korea, North",0,0,0,0,0,59,75
"Korea, South",8,10,0,207,225,"11,786","13,297"
Kuwait,0,0,0,8,8,216,431
Laos,0,0,0,0,0,27,77
Lebanon,2,0,0,0,2,361,"1,401"
Malaysia,0,3,0,1,4,559,759
Maldives,0,0,0,0,0,1,1
Mongolia,1,0,0,0,1,101,134
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Nepal,0,0,0,0,0,971,"1,774"
Oman,0,0,0,0,0,32,38
Pakistan,2,0,0,7,9,"2,271","10,620"
Philippines,0,0,0,2,2,"8,172","25,141"
Qatar,0,0,0,1,1,38,53
Saudi Arabia,0,0,0,6,6,222,424
Singapore,0,0,0,10,10,372,423
Sri Lanka,0,0,0,2,2,512,763
Syria,0,0,0,7,7,212,"1,222"
Thailand,8,0,0,5,13,379,676
Timor-Leste,0,0,0,0,0,2,2
United Arab Emirates,0,0,0,11,11,310,491
Vietnam,0,0,0,121,121,580,"18,808"
Yemen,0,0,0,1,1,51,747
Region Total For Asia,108,124,0,"9,724","9,956","99,358","195,541"
Europe,,,,,,,
Albania,0,0,0,0,0,90,537
Andorra,0,0,0,0,0,1,1
Armenia,0,0,0,0,0,108,408
Austria,0,0,0,1,1,150,163
Azerbaijan,4,0,0,0,4,63,129
Belarus,0,0,0,1,1,175,283
Belgium,0,0,0,4,4,291,310
Bosnia and Herzegovina,0,0,0,0,0,52,89
Bulgaria,0,0,0,0,0,295,455
Croatia,0,0,0,0,0,59,78
Cyprus,0,0,0,0,0,45,51
Czech Republic,0,0,0,0,0,150,177
Denmark,0,0,0,0,0,241,259
Faroe Islands,0,0,0,0,0,1,1
Greenland,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,242,260
Estonia,0,0,0,0,0,34,41
Finland,0,0,0,0,0,138,141
France,4,0,0,15,19,"1,828","1,995"
French Polynesia,0,0,0,0,0,1,1
French Southern and Antarctic Lands,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,1
Saint Barthelemy,0,0,0,0,0,0,2
Saint Martin,0,0,0,0,0,0,1
St. Pierre and Miquelon,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
TOTAL,4,0,0,15,19,"1,829","2,000"
Georgia,0,0,0,0,0,60,162
Germany,0,0,0,10,10,"1,606","1,782"
Great Britain and Northern Ireland,3,4,1,33,41,"4,922","5,454"
Anguilla,0,0,0,0,0,2,6
Bermuda,0,0,0,4,4,20,31
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,1,13
Cayman Islands,0,0,0,0,0,3,14
Falkland Islands,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,2,2
Montserrat,0,0,0,0,0,1,18
Pitcairn,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,1,6
TOTAL,3,4,1,37,45,"4,952","5,544"
Greece,0,0,0,1,1,243,297
Hungary,0,0,0,1,1,192,227
Iceland,0,0,0,0,0,47,51
Ireland,0,0,0,4,4,589,606
Italy,4,1,0,4,9,943,"1,071"
Kazakhstan,1,4,0,11,16,127,194
Kosovo,0,0,0,0,0,14,138
Kyrgyzstan,0,0,0,0,0,18,62
Latvia,0,0,0,0,0,39,64
Liechtenstein,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,50,101
Luxembourg,0,0,0,0,0,6,7
Macedonia,0,0,0,0,0,46,194
Malta,0,0,0,0,0,13,13
Moldova,0,0,0,0,0,78,185
Monaco,0,0,0,1,1,3,4
Montenegro,0,0,0,0,0,7,65
Netherlands,0,0,0,10,10,516,547
Aruba,0,0,0,0,0,5,12
Curacao,0,0,0,0,0,2,4
Sint Maarten,0,0,0,0,0,3,15
TOTAL,0,0,0,10,10,526,578
Norway,0,0,0,2,2,63,72
Svalbard,0,0,0,0,0,0,0
TOTAL,0,0,0,2,2,63,72
Poland,0,0,0,1,1,"1,085","1,978"
Portugal,0,0,0,1,1,177,252
Macau,0,0,0,3,3,25,63
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
TOTAL,0,0,0,4,4,202,315
Romania,0,0,0,1,1,557,774
Russia,8,0,0,92,100,"1,298","1,821"
San Marino,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,153,219
Slovakia,0,0,0,5,5,123,156
Slovenia,0,0,0,0,0,18,22
Spain,0,0,0,13,13,"1,017","1,114"
Sweden,0,0,0,0,0,392,421
Switzerland,0,1,0,4,5,256,264
Tajikistan,0,0,0,0,0,37,73
Turkey,0,0,0,1,1,913,"1,132"
Turkmenistan,0,0,0,0,0,21,38
Ukraine,1,1,0,5,7,665,"1,496"
Uzbekistan,0,0,0,0,0,99,523
Vatican City,0,0,0,0,0,0,0
Region Total For Europe,25,11,1,228,265,"20,180","26,886"
North America,,,,,,,
Antigua and Barbuda,0,0,0,0,0,16,121
"Bahamas, The",0,0,0,0,0,73,123
Barbados,0,0,0,0,0,35,126
Belize,0,0,0,0,0,41,245
Canada,6,3,0,43,52,"5,149","5,716"
Costa Rica,0,0,0,1,1,190,344
Cuba,0,0,0,0,0,6,"3,609"
Dominica,0,0,0,0,0,20,218
Dominican Republic,0,2,0,0,2,283,"25,558"
El Salvador,0,0,0,0,0,932,"8,804"
Grenada,0,0,0,0,0,27,142
Guatemala,0,0,0,2,2,834,"3,737"
Haiti,0,0,0,0,0,100,"6,918"
Honduras,1,0,0,3,4,700,"2,717"
Jamaica,0,1,0,0,1,653,"6,413"
Mexico,11,0,0,118,129,"7,104","41,549"
Nicaragua,0,0,0,1,1,71,825
Panama,0,0,0,0,0,68,289
Saint Kitts and Nevis,0,0,0,0,0,8,115
Saint Lucia,0,0,0,0,0,17,234
Saint Vincent and the Grenadines,0,0,0,0,0,9,131
Trinidad and Tobago,0,0,0,1,1,241,"1,020"
Region Total For North America,18,6,0,169,193,"16,577","108,954"
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Oceania,,,,,,,
Australia,0,0,0,2,2,761,830
Christmas Island,0,0,0,0,0,1,1
Cocos (Keeling) Islands,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
TOTAL,0,0,0,2,2,762,831
Fiji,0,0,0,0,0,24,282
Kiribati,0,0,0,0,0,0,2
Marshall Islands,0,0,0,0,0,2,3
"Micronesia, Federated States of",0,0,0,0,0,0,0
Nauru,0,0,0,0,0,0,0
New Zealand,1,1,0,0,2,204,229
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,1,1,0,0,2,204,229
Palau,0,0,0,0,0,1,3
Papua New Guinea,0,0,0,0,0,3,3
Samoa,0,0,0,0,0,2,25
Solomon Islands,0,0,0,0,0,1,1
Tonga,0,0,0,0,0,0,121
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0
Region Total For Oceania,1,1,0,2,4,999,"1,500"
South America,,,,,,,
Argentina,0,3,0,9,12,"1,118","1,324"
Bolivia,0,0,0,0,0,257,568
Brazil,0,2,0,28,30,"2,421","2,955"
Chile,0,0,0,1,1,325,475
Colombia,1,0,0,2,3,"1,433","5,271"
Ecuador,0,0,0,3,3,883,"4,781"
Guyana,0,0,0,0,0,91,"3,866"
Paraguay,0,0,0,0,0,43,70
Peru,0,0,0,0,0,698,"3,353"
Suriname,0,0,0,0,0,9,69
Uruguay,0,0,0,0,0,110,149
Venezuela,2,7,0,87,96,"2,030","2,740"
Region Total For South America,3,12,0,130,145,"9,418","25,621"
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Grand Totals,161,155,1,"10,375","10,692","151,359","372,552"
