"",5th,5th Target,Regional,Regional,,Employ.,
Zimbabwe,0,0,0,4,4,152,184
Region Total For Africa,3,6,0,99,108,"4,880","13,052"
Asia,,,,,,,
Afghanistan,0,0,0,0,0,30,236
Bahrain,0,0,0,0,0,35,46
Bangladesh,0,0,0,6,6,573,"8,517"
Bhutan,0,0,0,0,0,5,5
Brunei,0,0,0,0,0,13,14
Burma,0,0,0,2,2,94,541
Cambodia,0,0,0,0,0,47,391
China - mainland born,90,108,3,"5,923","6,124","21,109","38,948"
"- Taiwan born",3,4,0,141,148,"1,933","3,163"
"- PRC nationals adjusting under CSPA",0,0,0,0,0,1,1
Hong Kong S.A.R,1,1,0,30,32,540,"1,486"
India,5,4,1,66,76,"32,712","44,861"
Indonesia,0,0,0,2,2,506,788
Iran,2,2,0,77,81,951,"3,645"
Iraq,0,0,0,2,2,97,391
Israel,0,2,0,5,7,"1,511","1,686"
Japan,0,2,0,20,22,"2,088","2,187"
Jordan,0,0,0,0,0,217,"1,599"
"Korea, North",0,0,0,0,0,41,47
"Korea, South",9,13,0,425,447,"11,833","13,216"
Kuwait,0,0,0,1,1,197,394
Laos,0,0,0,0,0,29,107
Lebanon,0,0,0,9,9,394,"1,234"
Malaysia,0,0,0,2,2,632,806
Maldives,0,0,0,0,0,1,1
Mongolia,0,0,0,0,0,111,122
Nepal,0,0,0,3,3,929,"1,194"
Oman,0,0,0,0,0,35,41
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Pakistan,1,0,0,6,7,"2,229","7,110"
Philippines,0,0,0,1,1,"9,504","26,231"
Qatar,0,0,0,0,0,28,33
Saudi Arabia,0,0,0,1,1,198,331
Singapore,1,0,0,3,4,389,426
Sri Lanka,0,0,0,0,0,505,679
Syria,0,0,0,0,0,251,"1,203"
Thailand,0,0,0,1,1,400,723
Timor-Leste,0,0,0,0,0,1,1
United Arab Emirates,1,0,0,6,7,249,417
Vietnam,1,0,0,34,35,351,"15,910"
Yemen,0,0,0,0,0,37,826
Region Total For Asia,114,136,4,"6,766","7,020","90,806","179,557"
Europe,,,,,,,
Albania,0,0,0,0,0,70,338
Andorra,0,0,0,0,0,1,1
Armenia,0,0,0,0,0,141,267
Austria,0,0,0,0,0,139,144
Azerbaijan,0,0,0,0,0,45,116
Belarus,0,0,0,0,0,138,213
Belgium,0,0,0,4,4,249,268
Bosnia and Herzegovina,0,0,0,0,0,51,75
Bulgaria,3,0,0,0,3,315,401
Croatia,0,0,0,0,0,62,69
Cyprus,0,0,0,0,0,26,34
Czech Republic,0,0,0,2,2,148,170
Denmark,0,0,0,0,0,225,232
Faroe Islands,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,225,232
Estonia,0,0,0,0,0,27,31
Finland,0,0,0,3,3,144,152
France,6,0,0,3,9,"1,636","1,764"
French Guiana,0,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,1,2
French Southern and Antarctic Lands,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,1,1
New Caledonia,0,0,0,0,0,1,1
Reunion,0,0,0,0,0,0,0
Saint Barthelemy,0,0,0,0,0,1,2
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Saint Martin,0,0,0,0,0,3,6
St. Pierre and Miquelon,0,0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0,0
TOTAL,6,0,0,3,9,"1,643","1,776"
Georgia,0,0,0,0,0,81,122
Germany,0,0,0,18,18,"1,752","1,909"
Great Britain and Northern Ireland,7,4,0,56,67,"5,269","5,757"
Anguilla,0,0,0,0,0,1,5
Bermuda,0,0,0,0,0,19,26
British Indian Ocean Territory,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,10
Cayman Islands,0,0,0,0,0,3,13
Falkland Islands,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,1,1
Montserrat,0,0,0,0,0,5,5
Pitcairn,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,2,4
TOTAL,7,4,0,56,67,"5,300","5,821"
Greece,1,0,0,1,2,195,219
Hungary,0,0,0,0,0,188,230
Iceland,0,0,0,0,0,52,53
Ireland,0,0,0,7,7,496,527
Italy,1,0,0,2,3,841,945
Kazakhstan,0,0,0,8,8,96,130
Kosovo,0,0,0,0,0,7,81
Kyrgyzstan,0,0,0,0,0,32,45
Latvia,0,0,0,0,0,38,60
Liechtenstein,0,0,0,0,0,1,1
Lithuania,0,0,0,0,0,93,137
Luxembourg,0,0,0,0,0,6,6
Macedonia,0,0,0,0,0,51,221
Malta,0,0,0,0,0,10,12
Moldova,0,0,0,0,0,76,131
Monaco,0,0,0,0,0,2,2
Montenegro,0,0,0,0,0,7,40
Netherlands,0,5,0,7,12,491,502
Aruba,0,0,0,0,0,21,27
Curacao,0,0,0,0,0,11,17
Netherlands Antilles,0,0,0,0,0,0,0
Sint Maarten,0,0,0,0,0,0,10
TOTAL,0,5,0,7,12,523,556
Norway,0,0,0,1,1,76,83
Svalbard,0,0,0,0,0,0,0
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
TOTAL,0,0,0,1,1,76,83
Poland,0,0,0,1,1,"1,099","2,131"
Portugal,0,0,0,1,1,176,239
Macau,1,0,1,0,2,17,74
TOTAL,1,0,1,1,3,193,313
Romania,0,0,0,0,0,620,872
Russia,2,0,0,40,42,"1,284","1,656"
San Marino,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,181,234
Slovakia,0,0,0,0,0,132,163
Slovenia,0,0,0,0,0,23,24
Spain,0,1,0,4,5,641,718
Western Sahara,0,0,0,0,0,0,0
TOTAL,0,1,0,4,5,641,718
Sweden,0,0,0,0,0,360,383
Switzerland,0,0,0,2,2,266,280
Tajikistan,0,0,0,0,0,16,34
Turkey,0,0,0,7,7,"1,097","1,233"
Turkmenistan,0,0,0,0,0,10,17
Ukraine,0,0,0,5,5,638,"1,097"
Uzbekistan,0,0,0,0,0,106,289
Vatican City,0,0,0,0,0,0,0
Region Total For Europe,21,10,1,172,204,"20,013","25,062"
North America,,,,,,,
Antigua and Barbuda,0,0,0,0,0,16,128
"Bahamas, The",0,0,0,0,0,37,95
Barbados,0,0,0,0,0,49,135
Belize,0,0,0,0,0,34,271
Canada,8,0,0,38,46,"5,454","6,037"
Costa Rica,0,0,0,5,5,178,271
Cuba,0,0,0,0,0,13,"1,441"
Dominica,0,0,0,0,0,26,195
Dominican Republic,0,0,0,0,0,349,"20,382"
El Salvador,0,0,0,0,0,589,"6,408"
Grenada,0,0,0,0,0,18,162
Guatemala,0,0,0,2,2,662,"3,577"
Haiti,0,0,0,0,0,128,"8,684"
Honduras,0,0,0,1,1,421,"2,353"
Jamaica,0,0,0,0,0,561,"6,611"
Mexico,2,3,0,76,81,"7,587","49,562"
Nicaragua,1,0,0,0,1,38,739
Panama,0,0,0,0,0,78,301
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Saint Kitts and Nevis,0,0,0,0,0,6,144
Saint Lucia,0,0,0,0,0,30,206
Saint Vincent and the Grenadines,0,0,0,0,0,16,111
Trinidad and Tobago,0,0,0,6,6,320,"1,265"
Region Total For North America,11,3,0,128,142,"16,610","109,078"
Oceania,,,,,,,
Australia,0,0,0,1,1,792,827
Christmas Island,0,0,0,0,0,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0
TOTAL,0,0,0,1,1,792,827
Fiji,0,0,0,0,0,22,297
Kiribati,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,1,1
"Micronesia, Federated States of",0,0,0,0,0,5,5
Nauru,0,0,0,0,0,1,1
New Zealand,4,0,0,1,5,225,237
Cook Islands,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0
Tokelau,0,0,0,0,0,0,0
TOTAL,4,0,0,1,5,225,237
Palau,0,0,0,0,0,0,1
Papua New Guinea,0,0,0,0,0,4,5
Samoa,0,0,0,0,0,1,13
Solomon Islands,0,0,0,0,0,2,2
Tonga,0,0,0,0,0,2,40
Tuvalu,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,1
Region Total For Oceania,4,0,0,2,6,"1,055","1,430"
South America,,,,,,,
Argentina,0,0,0,1,1,"1,210","1,398"
Bolivia,0,0,0,1,1,293,523
Brazil,6,0,0,18,24,"2,630","2,971"
Chile,0,0,0,5,5,325,428
Colombia,0,0,0,13,13,"1,980","5,122"
Ecuador,0,0,0,2,2,867,"3,434"
Guyana,0,1,0,1,2,126,"3,139"
Paraguay,0,0,0,0,0,61,81
Peru,0,0,0,0,0,940,"3,388"
"",5th,5th Target,Regional,Regional,,Employ.,
"",Employ.,Employ.,Pilot,Target,,Preference,
Foreign State,Creation,Areas,Program,Areas,5th Total,Total,Grand Total
Suriname,0,0,0,2,2,21,61
Uruguay,0,1,0,0,1,140,171
Venezuela,0,7,0,102,109,"2,690","3,287"
Region Total For South America,6,9,0,145,160,"11,283","24,003"
Grand Totals,159,164,5,"7,312","7,640","144,647","352,182"
